Facility_ID,Facility_Name,CO2e_kt,Unit_Count,direct_use_heat_breakeven_price_USD_per_MMBTU,geophires_summary,Unit_Temp_degC,Temp_3000m,Temp_plus15C_Available_3000m,Latitude,Longitude,Temp_Gradient_degC_per_km
1006946,VALERO WELCOME PLANT,1616.0,30,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",233.0,125,false,43.66,-94.58,37.5
1004886,Interstate Paper LLC dba DSSmith Riceboro,1582.0,350,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,125,false,31.74,-81.41,37.5
1008999,Cosmopolis Pulp Mill,1573.0,210,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,100,false,46.95,-123.76,37.5
1008006,THARALDSON ETHANOL PLANT I LLC,1564.0,36,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",233.0,100,false,46.9,-97.26,37.5
1005306,Valero Lakota Plant,1549.0,21,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",233.0,125,false,43.38,-94.15,37.5
1007041,EVONIK CORPORATION,1490.0,60,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",260.0,125,false,30.52,-88.14,37.5
1005924,Cheyenne Plant,1475.0,33,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",260.0,125,false,41.09,-104.91,37.5
1009068,BIG WEST OIL LLC,1455.0,165,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,125,false,40.84,-111.92,37.5
1011065,"Cargill, Incorporated",1379.0,24,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",233.0,125,false,42.51,-94.31,37.5
1005526,Green Plains Fairmont LLC,1369.0,36,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",233.0,125,false,43.66,-94.49,37.5
1007218,SINCLAIR CASPER REFINING COMPANY,1314.0,228,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,125,false,42.77,-106.18,37.5
1010658,Aurora Ethanol Complex,1092.0,79,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",233.0,125,false,40.87,-98.04,37.5
1007346,AUSTIN WHITE LIME COMPANY MCNEIL PLANT & QUARRY,1075.0,25,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",1500.0,125,false,30.45,-97.72,37.5
1005051,"Marquis Energy - Wisconsin, LLC",1037.0,41,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",233.0,100,false,43.99,-90.07,37.5
1007069,ND OTM LLC,1023.0,302,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,100,false,44.92,-68.64,37.5
1005727,"POET BIOREFINING - GOWRIE, LLC",1013.0,49,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",233.0,125,false,42.32,-94.29,37.5
